Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Car_Age,Price_Ratio
ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0,12,0.5992844364937389
sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0,13,0.4979035639412998
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0,9,0.7360406091370558
wagon r,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0,15,0.6867469879518072
swift,2014,4.6,6.87,42450,Diesel,Dealer,Manual,0,12,0.6695778748180494
vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,0,8,0.940996948118006
ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0,11,0.83128078817734
s cross,2015,6.5,8.61,33429,Diesel,Dealer,Manual,0,11,0.7549361207897793
ciaz,2016,8.75,8.89,20273,Diesel,Dealer,Manual,0,10,0.9842519685039369
ciaz,2015,7.45,8.92,42367,Diesel,Dealer,Manual,0,11,0.8352017937219731
alto 800,2017,2.85,3.6,2135,Petrol,Dealer,Manual,0,9,0.7916666666666666
ciaz,2015,6.85,10.38,51000,Diesel,Dealer,Manual,0,11,0.6599229287090558
ciaz,2015,7.5,9.94,15000,Petrol,Dealer,Automatic,0,11,0.7545271629778673
ertiga,2015,6.1,7.71,26000,Petrol,Dealer,Manual,0,11,0.7911802853437094
dzire,2009,2.25,7.21,77427,Petrol,Dealer,Manual,0,17,0.31206657420249656
ertiga,2016,7.75,10.79,43000,Diesel,Dealer,Manual,0,10,0.7182576459684894
ertiga,2015,7.25,10.79,41678,Diesel,Dealer,Manual,0,11,0.6719184430027804
wagon r,2015,3.25,5.09,35500,CNG,Dealer,Manual,0,11,0.6385068762278978
sx4,2010,2.65,7.98,41442,Petrol,Dealer,Manual,0,16,0.3320802005012531
alto k10,2016,2.85,3.95,25000,Petrol,Dealer,Manual,0,10,0.7215189873417721
ignis,2017,4.9,5.71,2400,Petrol,Dealer,Manual,0,9,0.8581436077057794
sx4,2011,4.4,8.01,50000,Petrol,Dealer,Automatic,0,15,0.5493133583021224
alto k10,2014,2.5,3.46,45280,Petrol,Dealer,Manual,0,12,0.7225433526011561
wagon r,2013,2.9,4.41,56879,Petrol,Dealer,Manual,0,13,0.6575963718820861
swift,2011,3.0,4.99,20000,Petrol,Dealer,Manual,0,15,0.6012024048096192
swift,2013,4.15,5.87,55138,Petrol,Dealer,Manual,0,13,0.706984667802385
swift,2017,6.0,6.49,16200,Petrol,Individual,Manual,0,9,0.9244992295839753
alto k10,2010,1.95,3.95,44542,Petrol,Dealer,Manual,0,16,0.49367088607594933
ciaz,2015,7.45,10.38,45000,Diesel,Dealer,Manual,0,11,0.7177263969171483
ritz,2012,3.1,5.98,51439,Diesel,Dealer,Manual,0,14,0.5183946488294314
ritz,2011,2.35,4.89,54200,Petrol,Dealer,Manual,0,15,0.4805725971370144
swift,2014,4.95,7.49,39000,Diesel,Dealer,Manual,0,12,0.6608811748998665
ertiga,2014,6.0,9.95,45000,Diesel,Dealer,Manual,0,12,0.6030150753768845
